AI,AREA_MN,CONTAG,DEM,ERF,BUA proportion,NDVI,PD,Population density,Road network density,Soil permeability,Green space ratio,Drainage network density
0.561427532,0.436008333,0.701654012,0.335987217,0.380286063,0.955740737,0.239142873,0.568606193,0.948195968,0.972556589,0.257055044,0.477953185,0.183678008
0.919010221,0.899005471,0.143031588,0.028693567,0.178188734,0.807956801,0.306011581,0.920339232,0.91333664,0.880107638,0.243302298,0.55988024,0.179230598
0.898953053,0.871834999,0.15937161,0.103704672,0.242890073,0.742887821,0.421813376,0.90182628,0.884033099,0.913896666,0.271620752,0.686445291,0.293084278
0.414563306,0.325800958,0.761029059,0.011613256,0.535162133,0.832569237,0.495915115,0.430132546,0.915411199,0.847678532,0.279037838,0.64044638,0.349788748
0.922509356,0.90147231,0.146994936,0.063771297,0.244480699,0.767614509,0.51412928,0.930627885,0.919505526,0.943329079,0.095966044,0.670930866,0.31754503
0.897143462,0.876423911,0.154518426,0.096728379,0.254301698,0.801206836,0.3145908,0.901648017,0.891788438,0.928023634,0.271656566,0.453728906,0.235267956
0.57208367,0.419986776,0.735707201,0.479082956,0.094947435,0.909110877,0.406067938,0.559509964,0.958244772,0.947972474,0.271605256,0.490473598,0.161440961
0.311642294,0.18351117,0.931052175,0.080350501,0.437766365,0.938742819,0.293332002,0.298042144,0.951070618,0.962884766,0.215686612,0.630375612,0.106737825
0.589627858,0.51637038,0.595654259,0.172270822,0.07148757,0.945809057,0.151772473,0.576723764,0.974484215,0.971192914,0.271488243,0.584376701,0.093617968
0.832829919,0.760344953,0.313437503,0.09848843,0.175772777,0.963923045,0.17165863,0.829115825,0.990326058,0.993812308,0.525012433,0.549809472,0.129419613
0.371078478,0.236314731,0.843597772,0.278394496,0.18094953,0.975431218,0.182346163,0.374521419,0.983893415,0.976712504,0.171296015,0.57022319,0.122303758
0.804479765,0.776554846,0.335748005,0.014141339,0.67356048,0.960913322,0.264306506,0.8149334,0.917293856,0.969886737,0.169383788,0.413445836,0.195463642
0.72201505,0.656585625,0.47583897,0.013647812,0.69091444,0.832289168,0.301398886,0.722798352,0.923639514,0.973048913,0.275055048,0.419706042,0.180342451
0.900044211,0.870071145,0.154535713,0.071794308,0.247752926,0.768714824,0.406931589,0.898086271,0.916923607,0.935279077,0.271277426,0.412357104,0.200578163
0.414296197,0.319350021,0.826652325,0.012126862,0.596407531,0.856803134,0.397803439,0.439083459,0.929049785,0.9622753,0.258307547,0.379695155,0.231042918
0.810370914,0.750005865,0.307976707,0.097850031,0.117838601,0.956873354,0.108648855,0.803464168,0.98628715,0.989659588,0.497328357,0.192161132,0.114743162
0.328228265,0.23370953,0.834636541,0.010560592,0.682039571,0.637252133,0.618081062,0.366458384,0.867180916,0.711831866,0.282600097,0.609417529,0.30820547
0.361412181,0.294874305,0.773287771,0.128449691,0.579593025,0.965388654,0.35598565,0.366731,0.982844154,0.987807901,0.114673431,0.577572128,0.172781855
0.979644713,0.975852262,0.044593409,0.021946961,0.413464045,0.800405823,0.23265231,0.983628162,0.883369232,0.944188083,0.398132636,0.40827436,0.198132088
0.736444802,0.681564538,0.516423117,0.031175667,0.543467763,0.974016123,0.328403687,0.771574022,0.946342852,0.982005413,0.021293663,0.469515514,0.184122748
0.540976147,0.448206889,0.702082209,0.037944374,0.544330975,0.968066933,0.286580357,0.602220361,0.965028304,0.967134096,0.02707394,0.469515514,0.184122748
0.395428127,0.279648679,0.849616353,0.079620716,0.467564234,0.892163871,0.347403608,0.409193106,0.903642983,0.910706957,0.386896744,0.439303212,0.14698688
0.565221102,0.527533304,0.592632397,0.019512382,0.364712775,0.846241781,0.471051146,0.631516131,0.837462373,0.930944522,0.043053726,0.553620033,0.226150767
0.577912799,0.449258197,0.690526785,0.503987646,0.265103721,0.981942845,0.207040017,0.580444707,0.966059318,0.986519443,0.215945364,0.310560697,0.204803202
0.759391358,0.663456707,0.432812638,0.001596396,0.291259164,0.772101935,0.81736536,0.746456383,0.9605401,0.928109917,0.243234459,0.652150245,0.202357127
0.946034036,0.922430101,0.117137866,0.065552274,0.346322357,0.784900091,0.354664451,0.948614321,0.891018631,0.921574994,0.271597474,0.479858465,0.139426284
0.346917954,0.253720743,0.869347168,0.165646423,0.319796031,0.918131791,0.285351588,0.375112286,0.923974667,0.973167948,0.48520271,0.467882417,0.215699355
0.607939602,0.522107438,0.543919016,0.549915978,0.122717462,0.940829822,0.314627082,0.590662384,0.967921393,0.958419152,0.271655257,0.645890038,0.167222593
0.417602522,0.299385392,0.826686524,0.175674044,0.189447292,0.977729061,0.258260108,0.427222161,0.96925734,0.981937171,0.1604571,0.467610234,0.212586169
0.619452333,0.570495749,0.545953138,0.001586862,0.638976524,0.239280521,0.764345402,0.659065026,0.388388512,0.504020633,0.28675245,0.442025041,0.368912608
0.327986331,0.193367963,0.941108493,0.274924044,0.698893145,0.972479845,0.230240568,0.328373981,0.970047193,0.950742711,0,0.543821448,0.160551479
0.765189172,0.706222365,0.358439888,0.156860761,0.165043744,0.788560067,0.414538731,0.769601848,0.929197294,0.948781631,0.266109902,0.492651062,0.141427618
0.975849608,0.97249866,0.038520452,0.02311389,0.262100107,0.810780484,0.254498308,0.976849558,0.893784939,0.920614561,0.270437878,0.567229178,0.186568824
0.307062746,0.216366834,0.893723574,0.144838032,0.279268588,0.997703171,0.244761732,0.343634184,0.986244794,0.992228264,0.640489737,0.467882417,0.133422282
0.587476244,0.534382596,0.598141678,0.002613795,0.535134796,0.699190956,0.489308702,0.618890682,0.892096113,0.753875087,0.306690302,0.644256941,0.373582388
0.928681123,0.918748632,0.105316604,0.045651558,0.421516637,0.797470049,0.269919406,0.927132347,0.926883425,0.953134895,0.271511591,0.454545455,0.20836113
0.337723551,0.21158019,0.892329483,0.146273416,0.395781075,0.963337423,0.260069071,0.334294711,0.946421238,0.969688737,0.299018459,0.584376701,0.229931065
0.347072694,0.213067486,0.905527406,0.09893024,0.254581856,0.966894059,0.268394214,0.369713026,0.959532271,0.955767471,0.655832458,0.360642352,0.164109406
0.643146489,0.480330829,0.667923126,0.314037987,0.307112467,0.97186595,0.2126686,0.625569395,0.97479521,0.972627765,0.295012045,0.518236255,0.135868357
0.882578621,0.837962548,0.214140123,0.733764231,0.287904449,0.993017652,0.483074935,0.878189558,0.978462612,0.981544842,0.272123999,0.388949374,0.246164109
0.664639295,0.559244548,0.576221305,0.32412402,0.276190652,0.961724397,0.309599709,0.669542562,0.935636628,0.946511417,0.232075221,0.361731083,0.256837892
0.888328539,0.860492187,0.201821408,0.026972549,0.107844643,0.694657985,0.527196875,0.897474655,0.883041041,0.879384968,0.228475634,0.5318454,0.266844563
0.892915762,0.877258976,0.144540519,0.067724937,0.396801561,0.792081344,0.271155286,0.890969717,0.894892088,0.917757121,0.272394046,0.526401742,0.15654881
0.426214504,0.348489139,0.699417551,0.471802848,0.231576334,0.93498537,0.307639031,0.411158411,0.967455023,0.938267203,0.271648921,0.378878606,0.135423616
0.34119444,0.262892674,0.836852122,0.051108688,0.430494101,0.582231421,0.564435427,0.366787711,0.668706083,0.657221381,0.538485559,0.49809472,0.175672671
0.546318032,0.468338843,0.599252106,0.186894368,0.170813084,0.964984327,0.062006641,0.508669237,0.984173925,0.97113737,0.267321014,0.592270005,0.113186569
0.342989601,0.214511757,0.86889264,0.098809867,0.556923456,0.961874705,0.375312734,0.320541364,0.964195627,0.956303511,0.247583235,0.818726184,0.236602179
0.321610701,0.2041864,0.880407052,0.13995561,0.175840587,0.912382468,0.361080046,0.333322714,0.937297878,0.931264469,0.196562275,0.601252041,0.272403825
0.82512396,0.762791891,0.326728068,0.596472253,0,0.966561818,0.586833597,0.827607989,0.989458359,0.973870011,0.221993139,0.591453457,0.167000222
0.454099825,0.334797783,0.733948785,0.19760408,0.181694464,0.96827318,0.056621679,0.446172043,0.979619399,0.957955349,0.239396782,0.534567229,0.144318435
0.388691132,0.276174336,0.840449749,0.101069492,0.581348948,0.92866741,0.351775819,0.397886225,0.950080396,0.962986748,0.15439858,0.665487207,0.261952413
0.261433058,0.215312357,0.8825312,0.052496913,0.545255845,0.917652954,0.320646923,0.345655778,0.905556694,0.921215569,0.442026392,0.538649973,0.28930398
0.310147709,0.214436989,0.895508013,0.079572404,0.440664867,0.85110442,0.329746111,0.332101863,0.931346845,0.906236855,0.378340724,0.468971149,0.208138759
